USDOT Number,Legal Name,DBA Name,pv_apcant_id
3190769,ACCURATE COMMUNICATIONS CONSTRUCTION LLC,ACCURATE COMUNICATIONS CONSTRUCTION|ACC,1059708
2235753,ACE AUTO MOVERS LIMITED LIABILITY COMPANY,,464519
176340,ACE BATTERY INC,,574079
193365,ACE CAB OF ELKHART INC,,12572
673021,ACE CARGO LLC,,226629
2363404,ACE EXPEDITED SERVICES INC,,727012
3149443,ACE OF CLUBS TRUCKING LLC,,1076855
1819185,ACE OF LAPORTE INC,ACE TOWING,577447
125566,ACE REFRIGERATED TRUCKING SERVICE INC,,6501
1258618,ACE TRANS INC,,406121
3008515,ACE TRANSFER LLC,,951047
2366159,ACE TRANSPORT INC,,730601
,ACE TRANSPORT LLC,ACE TRANSPORT,1000316
3082054,ACE TRANSPORT LLC,ACE TRANSPORT,1000317
1250322,ACE'S HIGH TRANSPORT LLC,,433337
2075653,ACER TRANSPORT INC,,643610
,ACES DISPOSAL SERVICES INC,,923869
443130,ACFS INC,,59539
,ACKERMAN OIL CO INC,,206933
739437,ACKERMAN OIL CORPORATION,,247840
705800,ACLS INC,NATIONS TRANSPORTATION,226930
462363,ACME TRANSPORTATION INC,,65717
2227378,ACME TRANSPORTATION INC,ACME XPRESS,312504
2468404,ACME TRUCKING LLC,,771305
2110398,ACORD TRUCKING INC,,652814
2971775,ACORN FORWARDING INC,,428
331655,ACORN TRUCKING LLC,,456471
2232144,ACRO BROKERAGE LLC,,397739
1322406,ACS CARTAGE INC,,425195
472801,ACS INC,,68274
880267,ACT II TRANSPORT INC,,297000
2487633,ACT TRANSPORT LLC,,779443
2213708,ACT TRANSPORTATION SERVICES INC,,35616
1268110,ACTION COOLING TOWERS INC,,410025
1029496,ACTION ENVIRONMENTAL INC,,346546
2213731,ACTION EXPRESS INC,,36009
431377,ACTION EXPRESS LLC,,395603
834466,ACTION LOGISTICS INC,,278618
2608723,ACTION MOVERS COMPANY,,832388
1840567,ACTION SCS LLC,,36886
,ACTIVE DUTY LOGISTICS LLC,,830627
882746,ACTIVE FARM & TRUCK SERVICE LLC,,297339
2559410,ACTIVE INTERMODAL LLC,,811542
2876490,ACTIVE SERVICES LLC,,886391
717667,ACTIVE VAN LINES INC,BROADRIPPLE MOVERS,260882
2309115,ACTS TOWING SERVICE INC,,706237
2559758,ACUNA TRANSPORTATION LLC,,811726
3048483,AD EXPRESS LLC,,975300
2010335,AD TRANSPORT SERVICES INC,,626387
1767370,ADAM & HOLLY LANDEL,ALLSTAR TOWING & RECOVERY,562330
,ADAM D KLINGENSMITH,K & K DIRTWORKS,422996
,ADAM EARL,EARLS TRUCKING,333369
2462869,ADAM KIEL,BLACKCREEK HAULING,768971
1762293,ADAM M REKEWEG,,562138
2584550,ADAM PAMER,PAMERS DISTRIBUTING,824547
3229230,ADAM R DECARLO,REDHEAD EXPRESS,1080994
3170057,ADAM'S TOWING LLC,,1048879
,ADAMANCE,CRATERS AND FREIGHTERS OF INDIANAPOLIS,683308
2206898,ADAMANCE,CRATERS AND FREIGHTERS OF INDIANAPOLIS,683309
2177277,ADAMAR ENTERPRISES INC,,673464
2045,ADAMS AMD MULBERRY CORPORATION,,111965
3139441,ADAMS ENTERPRISES INC,,1031654
759085,ADAMS LANDSCAPING AND LAWNCARE INC,,923983
1613185,ADAMS SWINE FARMS LLC,,588489
2077554,ADAMS TOWING AND REPAIR LLC,,733546
250456,ADAMS TRANSPORTATION INC,,22485
,ADARA SERVICE CORPORATION,,359988
293383,ADCO LOGISTICS INC,,28508
125564,ADCO MOVING & STORAGE CO INC,,105927
2296455,ADDLEX LOGISTICS LLC,,696677
1771127,ADEL MOHAMED SAWAL,A S TRUCKING EXPRESS,563448
492627,ADESA AUCTIONS INDIANAPOLIS,,100364
592685,ADESA INDIANAPOLIS LLC,,662121
292626,ADKINS CHARTER & TOURS INC,,29178
535148,ADKINS FARMS INC,,300256
3064994,ADKOS,,981273
,ADKOS LLC,,842742
1037565,ADL CONSTRUCTION LLC,ADL,347999
684724,ADL LOAD PARTNERS INC,,229123
1845726,ADM TRANSPORT LLC,,585824
3097457,ADMI CORP,,1008919
743106,ADMIRAL TRANSPORT CO INC,,248702
,ADORN LLC,DESIGN COMPONENTS,313611
730704,ADRIAN R PATTEN JR,PATTEN TRUCKING,418657
213341,ADS LOGISTICS CO LLC,AREA TRANSPORTATION,13864
346752,ADVAC TRANSPORTATION,,169297
709610,ADVANCE DISTRIBUTION INC,,234110
3234487,ADVANCE ENERGY LLC,,1083840
,ADVANCE MEDICAL TRANSPORTATION LLC,,960292
392697,ADVANCE PACKAGE EXPRESS INC,,55544
1000307,ADVANCE SERVICES LLC,,419110
1726402,ADVANCE TOWING LLC,,549222
1098657,ADVANCED  TURF  TRUCKING  LLC,,352193
1465742,ADVANCED AIR AND FABRICATION LLC,,468144
2489074,ADVANCED COMFORT PRODUCTS INC,,780008
,ADVANCED CONCRETE,,959668
1923586,ADVANCED DISTRIBUTION SERVICES INDIANA LLC,,605827
1005387,ADVANCED EXPRESS INC,,339034
,ADVANCED LOGISTICS INC,,326055
,ADVANCED MOLD & ENGINEERING INC,,925442
1533971,ADVANCED NITRIDING SOLUTIONS LLC,ANS,486951
,ADVANCED OFFICE LOGISTICS,,894086
2573726,ADVANCED TOWING & RECOVERY 014 INC,,818763
2843073,ADVANCED TOWING LLC,,872920
1094298,ADVANCED TOWING INC,ADVANCED TOWING/RECOVERY,364797
2908081,ADVANCED TRUCKING LLC,,900980
781429,ADVANCED VACUUM SERVICES INC,,329094
,ADVANTAGE DELIVERY SYSTEMS INC,,334933
,ADVANTAGE EXPRESS INC,AEI,159074
521114,ADVANTAGE EXPRESS INC,,77012
2359983,ADVANTAGE FREIGHT LLC,,721990
1806021,ADVANTAGE LUMBER COMPANY LLC,ECOVANTAGE,616249
2223272,ADVANTAGE TRANSPORT INC,,233053
250890,ADVANTAGE TRANSPORTATION INC,,144643
781384,ADVANTAGE TRANSPORTATION INC,,379847
2236764,AEL CORP,,482211
3080673,AEP ENTERPRISES LLC,,990140
3047367,AER LOGISTICAL SOLUTIONS LLC,,971446
2969350,AER LOGISTICS LLC,AER LOGISTICS,932191
3199099,AER TRANSPORT LLC,,1011170
742511,AEROSTAR  INC,,248650
2830441,AES TRANSPORT LLC,,865598
3007210,AET LOGISTICS LLC,,950399
987757,AFC LOGISTICS INC,,315255
1488210,AFFARI TRANSPORT LLC,,475467
2164553,AFFECTS LIMOUSINE LLC,AFFECTS TRANSPORTATION,979996
612027,AFFINITY LIMOUSINE & TOURS INC,,196400
2981764,AFFINITY SYSTEMS,,937382
768138,AFFINITY TRANSPORT INC,,256305
1788786,AFFLUENT ENTERPRISES INC,TITUS TRANSPORTS,568517
,AFFORDABLE ENTERPRISES & ASSOC INC,AFFORDABLE TOWING & ASSOC,659346
2609083,AFFORDABLE PACKING LLC,,832561
2923627,AFFORDABLE SOLUTIONS - SHIPSHEWANA LLC,,908326
961176,AFFORDABLE TODD WRECKER AND REPAIR LLC,,321908
3074480,AFFORDABLE TOWING & ROADSIDE LLC,,1045610
,AFFORDABLE TREES LLC,AFFORDABLE TREES,472141
1534543,AFK EXPEDITED INC,,475044
1897118,AG CHEMICAL SOLUTIONS INC,,614512
2829361,AG COMMODITY TRANSPORT OF INDIANA LLC,AG COMMODITY TRANSPORT,865056
2845258,AG DYNASTY LLC,,874199
3151285,AG ENERGY TRANSPORT LLC,,1038162
2143005,AG PRODUCTS TRUCKING LLC,,662953
213616,AG TRUCKING INC,,1725
2453557,AG XPRESS LLC,,763122
1989236,AG-TRAN INC,,620077
1632998,AGAINST THE WIND EXPRESS LLC,,518019
2999936,AGAMNOVI CORP,,946561
2995990,AGAPE TRUCKING RVT LLC,AGAPE TRUCKING,944476
2977807,AGC TRANSPORT INC,ANNAPOLIS GRAIN CO TRANSPORT,940698
1589339,AGCORP LLC,,529272
3205324,AGELESS TRANSPORT LLC,AGELESS TRANSPORT,1067733
3209164,AGELESS TRANSPORT LLC,AGELESS TRANSPORT,1069787
1472751,AGES FREIGHT SERVICE INC,,470454
,AGGREGATE TRANSFER INC,,503569
491952,AGGREGATE TRUCKING & EXCAVATING INC,,729820
2984147,AGGRESSIVE TRANSPORT LLC,,938588
1530349,AGILE EXPEDITED SOLUTIONS INC,,485569
729033,AGILE LOGISTICS INC,,248741
,AGILITY LOGISTICS SERVICES LTD,,722698
2231081,AGM TRANSPORT INC,,377102
,AGM TRANSPORTATION LLC,,548337
2522431,AGM TRUCKING INC,,794228
,AGRA TRAILERS INC,,764447
2908879,AGREE TRANSPORT LLC,,901427
,AGRI CARRIERS INC,,124139
503933,AGRICULTURAL COMMODITIES TRANSPORT INC,AGRI-COMM TRANSPORT INC,83328
1450290,AGRIENERGY OF IN LLC,,462254
2233320,AGT LOGISTICS LLC,,420149
512777,AGTRANS INC,,80428
3207915,AGUILAR TRUCKING LLC,,1069025
3213999,AGY TRUCKING INC,,1072568
3028514,AH TRANS INC,,961457
2313481,AH TRUCKING INC,AH TRUCKING,707706
1375190,AHAD UNITED TRUCKING INC,AUT,438920
3126880,AHADU TRANSPORTATION LLC,,1024834
2894773,AHEAD LOGISTICS LLC,,894100
2588462,AHI TRANSPORT LLC,,826649
2993497,AHMED ALSAQA,PIGEON WORLD SHIPPING,943217
3148821,AHON TRANSPORTATION LLC,,1036838
2087622,AHS TRUCKING LLC,,645363
679013,AIDA LUZ TRUCKING INC,,309306
2921942,AIK TRANS INC,,907659
2584155,AIMSETT TRUCKING SERVICE INC,,824310
3087979,AIO ENTERPRISES LLC,,1014735
392683,AIR EQUIPMENT SALES & SERVICES INC,,55617
1833360,AIR FLIGHT INC,,581971
2217178,AIR LAND SEA TRANSPORTATION INC,,102029
2215710,AIR ROAD EXPRESS TRANSPORTATION SERVICES INC,,69939
401562,AIR ROAD EXPRESS INC,,26772
,AIR ROAD EXPRESS INC,,222735
2971808,AIR TRUCK INC,,15719
2266183,AIR WAYS LLC,,691301
2297576,AIR WOLF INC,,702375
275405,AIRGOOD TRUCKING INC,,37282
908066,AIRPORT COACH INC,,305120
506608,AIRPORT COURIERS & EXPEDITERS  LTD,ZOOM EXPRESS,74061
1805411,AIRPORT LOGISTICS AND EXPEDITERS INCORPORATED,AIR LOGIC INC,573336
866918,AIRWAY  TRANSFER  LLC,,292761
798407,AIRWAY EXPRESS INC,,266834
2221665,AIRWISE EXPRESS LLC,,193672
674820,AIRWORX CONST EQUIP AND SUPPLY LLC,,487352
748630,AJ EXPRESS INC,,250257
2311739,AJ TRANSPORT LLC,,707104
710192,AJ&S TRUCKING INC,,305592
,AJ'S JANITORIAL SERVICES,AJ'S SERVICES INC,663848
623897,AJA DEDICATED CARRIERS INC,,208978
2052776,AJB ENTERPRISES INC,,636114
1581095,AJEB INC,ALL AMERICAN RECOVERY,735617
2180330,AJMJ TRANSPORT LLC,,674436
794171,AJP LLC,,265439
2796736,AJP LLC,,853151
2898127,AJS EXPRESS LLC,,904011
2469651,AJS LOGISTICS LLC,,773149
3098471,AJT TRUCKING LLC,,1012569
,AJZ LOGISTICS INC,,861319
907562,AJZ TRANSPORT INC,,562799
2886925,AK HAMSTRA INC,,890501
3027157,AK TRANS LLC,,960796
3173344,AKA TRUCKING COMPANY,,1050760
2437620,AKAAL EXPRESS LLC,,758231
2392716,AKAL EXPRESS INC,,739666
,AKAL LOGISTICS BROKERAGE INC,,506303
2875091,AKAL SAHAI TRUCKING INC,,885659
1548749,AKAL TRANS INC,,490772
1548749,AKAL TRANSPORT INC,,361544
1980563,AKASHA TRUCKING INC,,617942
,AKAT BROKERAGE INC,,539058
2248752,AKAT BROKERAGE INC,,662443
143468,AKER PLASTICS CO INC,MAXX,450079
2155622,AKERS FLEET SERVICES LLC,,667460
3012454,AKG SYSTEMS INC,,953083
3127824,AKH TRUCKING LLC,,1025359
734108,AKINS EXCAVATING INC,,436976
3101288,AKKT TRUCKING LLC,,1012557
3137894,AKTT LOGISTICS LLC,,1030819
2148346,AL CRUMBLE,A R CRUMBLE TRUCKING,664371
294122,AL GIBSON,,33871
2422092,AL OMAR CORPORATION,,751700
175248,AL WANINGER TRUCKING CO INC,,433173
,AL'S ENTERPRISES,,631508
2797302,AL-DENI LLC,,853610
886399,ALA TRUCKING INC,,628729
2511010,ALAM TRANS INC,,791326
2884124,ALAM TRUCKING LLC,,893968
,ALAMAR FREIGHT BROKERS INC,,48918
960576,ALAMO TRAILS INC,,321877
1154452,ALAN BAHLMANN,,378461
2195685,ALAN BEHRENS,,679479
869587,ALAN H WENTZEL,,293216
318754,ALAN L COFFMAN,COFFMAN LOGGING,351501
